id,nane,hex_code
1,lightsalmon,FFA07A
2,salmon,FA8072
3,darksalmon,E9967A
4,lightcoral,F08080
5,indianred,CD5C5C
6,crimson,DC143C
7,firebrick,B22222
8,red,FF0000
9,darkred,8B0000
10,coral,FF7F50
11,tomato,FF6347
12,orangered,FF4500
13,gold,FFD700
14,orange,FFA500
15,darkorange,FF8C00
16,lightgoldenrodyellow,FAFAD2
17,papayawhip,FFEFD5
18,moccasin,FFE4B5
19,peachpuff,FFDAB9
20,palegoldenrod,EEE8AA
21,khaki,F0E68C
22,darkkhaki,BDB76B
23,yellow,FFFF00
24,lawngreen,7CFC00
25,chartreuse,7FFF00
26,limegreen,32CD32
27,lime,00FF00
28,forestgreen,228B22
29,green,8000
30,darkgreen,6400
31,greenyellow,ADFF2F
32,yellowgreen,9ACD32
33,springgreen,00FF7F
34,mediumspringgreen,00FA9A
35,lightgreen,90EE90
36,palegreen,98FB98
37,darkseagreen,8FBC8F
38,mediumseagreen,3CB371
39,seagreen,2E8B57
40,olive,808000
41,darkolivegreen,556B2F
42,olivedrab,6B8E23
43,lightcyan,E0FFFF
44,cyan,00FFFF
45,aqua,00FFFF
46,aquamarine,7FFFD4
47,mediumaquamarine,66CDAA
48,paleturquoise,AFEEEE
49,turquoise,40E0D0
50,mediumturquoise,48D1CC
51,darkturquoise,00CED1
52,lightseagreen,20B2AA
53,cadetblue,5F9EA0
54,darkcyan,008B8B
55,teal,8080
56,powderblue,B0E0E6
57,lightblue,ADD8E6
58,lightskyblue,87CEFA
59,skyblue,87CEEB
60,deepskyblue,00BFFF
61,lightsteelblue,B0C4DE
62,dodgerblue,1E90FF
63,cornflowerblue,6495ED
64,steelblue,4682B4
65,royalblue,41690
66,blue,0000FF
67,mediumblue,0000CD
68,darkblue,00008B
69,navy,80
70,midnightblue,191970
71,lavender,E6E6FA
72,thistle,D8BFD8
73,plum,DDA0DD
74,violet,EE82EE
75,orchid,DA70D6
76,fuchsia,FF00FF
77,magenta,FF00FF
78,mediumorchid,BA55D3
79,mediumpurple,9370DB
80,blueviolet,8A2BE2
81,darkviolet,9400D3
82,darkorchid,9932CC
83,darkmagenta,8B008B
84,purple,800080
85,indigo,4B0082
86,pink,FFC0CB
87,lightpink,FFB6C1
88,hotpink,FF69B4
